year,NY.GDP.PCAP.CD,BRACPIALLMINMEI,year,NY.GDP.PCAP.CD,JPNCPIALLMINMEI
2020-01-01,6923.6999117682,124.84718616635315,2020-01-01,40040.7655055923,101.79859166878758
2019-01-01,8845.32414932264,120.96216210572692,2019-01-01,40415.9567649547,101.82404343768549
2018-01-01,9121.02099480377,116.60916954538966,2018-01-01,39751.1330982711,101.34894375159082
2017-01-01,9896.71889500528,112.48670038705426,2017-01-01,38834.0529341227,100.35632476457114
2016-01-01,8680.73646873878,108.73914352329392,2016-01-01,39375.4731620781,99.87274115551033
2015-01-01,8783.2154236384,100.0,2015-01-01,34960.6393843385,100.00000000000007
2014-01-01,12071.4044637296,91.71795907421739,2014-01-01,38475.3952461838,99.21099516416389
2013-01-01,12258.5657091866,86.258616592774,2013-01-01,40898.6478964744,96.54704335284634
2012-01-01,12327.5131013057,81.21950611187663,2012-01-01,49145.2804308193,96.22465428013913
2011-01-01,13200.5562348789,77.05579679448151,2011-01-01,48760.0789494211,96.26707389496902
2010-01-01,11249.2918904352,72.26027973317828,2010-01-01,44968.1562349739,96.5300755069144
